   1079 bp01.xyxy
   1231 bp02.xyxy
   1428 bp03.xyxy
   1532 bp04.xyxy
   1686 bp05.xyxy
   1964 bp06.xyxy
   2063 bp07.xyxy
   2154 bp08.xyxy
   2234 bp09.xyxy
   2207 bp10.xyxy
   2222 bp11.xyxy
   2251 bp12.xyxy
   2142 bp13.xyxy
   2088 bp14.xyxy
   2035 bp15.xyxy
   1974 bp16.xyxy
   1847 bp17.xyxy
   1744 bp18.xyxy
   1582 bp19.xyxy
   1515 bp20.xyxy
