-76.73875322 45.82247228 -65.86603157 51.99630297
-76.55806757 45.69455954 -65.71342617 51.86866958
-76.37830535 45.56639960 -65.56159725 51.74078826
-76.19945988 45.43799483 -65.41053830 51.61266136
-76.02152449 45.30934757 -65.26024286 51.48429123
-75.84449255 45.18046013 -65.11070454 51.35568018
-75.66835746 45.05133480 -64.96191696 51.22683051
-75.49311266 44.92197386 -64.81387381 51.09774450
-75.31875161 44.79237954 -64.66656884 50.96842437
-75.14526784 44.66255408 -64.51999581 50.83887237
-74.97265487 44.53249967 -64.37414858 50.70909069
-74.80090629 44.40221848 -64.22902100 50.57908151
-74.63001570 44.27171267 -64.08460701 50.44884698
-74.45997675 44.14098437 -63.94090058 50.31838924
-74.29078314 44.01003570 -63.79789572 50.18771040
-74.12242857 43.87886873 -63.65558650 50.05681255
-73.95490681 43.74748554 -63.51396704 49.92569775
-73.78821164 43.61588817 -63.37303149 49.79436806
-73.62233691 43.48407864 -63.23277405 49.66282550
-73.45727647 43.35205897 -63.09318897 49.53107207
-73.29302423 43.21983112 -62.95427056 49.39910976
-73.12957414 43.08739706 -62.81601315 49.26694054
-72.96692017 42.95475874 -62.67841113 49.13456633
-72.80505633 42.82191808 -62.54145892 49.00198908
-72.64397669 42.68887697 -62.40515102 48.86921068
-72.48367533 42.55563730 -62.26948192 48.73623302
-72.32414639 42.42220094 -62.13444622 48.60305796
-72.16538402 42.28856973 -62.00003850 48.46968735
-72.00738244 42.15474549 -61.86625342 48.33612301
-71.85013589 42.02073002 -61.73308569 48.20236676
-71.69363864 41.88652513 -61.60053004 48.06842037
-71.53788502 41.75213257 -61.46858125 47.93428563
-71.38286938 41.61755410 -61.33723415 47.79996428
-71.22858612 41.48279145 -61.20648361 47.66545807
-71.07502965 41.34784633 -61.07632454 47.53076870
-70.92219446 41.21272045 -60.94675189 47.39589787
-70.77007505 41.07741549 -60.81776065 47.26084728
-70.61866596 40.94193311 -60.68934587 47.12561857
-70.46796177 40.80627495 -60.56150262 46.99021341
-70.31795710 40.67044265 -60.43422602 46.85463343
-70.16864661 40.53443782 -60.30751122 46.71888022
-70.02002499 40.39826205 -60.18135342 46.58295541
-69.87208696 40.26191693 -60.05574787 46.44686056
-69.72482730 40.12540403 -59.93068984 46.31059724
-69.57824081 39.98872488 -59.80617464 46.17416701
-69.43232233 39.85188102 -59.68219765 46.03757139
-69.28706673 39.71487398 -59.55875424 45.90081191
-69.14246893 39.57770525 -59.43583987 45.76389006
-68.99852388 39.44037632 -59.31344999 45.62680735
-68.85522656 39.30288866 -59.19158012 45.48956523
