#Date,Time,Latitude,Longitude,Depth(km),Mag,Mag_type,JulDay,BAZ,GCARC

# 2014-07-27 01:28:41.400  23.8600  -45.5900  13.70 6.1  MW 208 299  97.27
# 2014-07-25 10:54:49.720  58.3062 -136.9601  10.00 6.0  MW 206  11  97.97
# 2014-07-21 14:54:41.000 -19.8015 -178.4001 615.40 6.9  MW 202 100 122.46
# 2014-07-20 18:32:47.790  44.6419  148.7838  61.00 6.3  MW 201  48  71.53
# 2014-07-19 12:27:16.000 -15.6400 -174.1800 233.80 6.2  MW 200  94 125.28
# 2014-07-19 12:27:10.400 -15.8239 -174.4517 227.30 6.3 Mwc 200  94 125.08
# 2014-07-17 11:49:33.930  60.2995 -140.3366  10.00 6.0  MW 198  12  95.50
# 2014-07-14 08:00:02.100   5.7200  126.5100  50.00 6.2  MW 195  95  62.86
# 2014-07-14 07:59:57.290   5.7144  126.4776  20.00 6.3 Mwc 195  95  62.83
# 2014-07-11 19:22:05.800  36.9700  142.3900  12.00 6.5  MW 192  58  68.44
# 2014-07-11 19:22:00.820  37.0052  142.4525  20.00 6.6 Mwc 192  57  68.48
# 2014-07-08 12:56:30.900 -17.7900  168.3000 114.60 6.2  MW 189 102 109.80
# 2014-07-08 12:56:25.920 -17.6864  168.3982 110.20 6.2 Mwc 189 102 109.86
# 2014-07-07 11:23:54.780  14.7240  -92.4614  53.00 6.9  MW 188 325 136.34
# 2014-07-05 09:39:27.790   1.9335   96.9388  20.00 6.1  MW 186 117  38.13
# 2014-07-04 15:00:27.860  -6.2304  152.8075  20.00 6.4  MW 185  96  91.65
# 2014-07-03 19:50:10.300 -30.3500 -176.3000  49.10 6.3  MW 184 112 126.17
# 2014-07-03 19:50:07.290 -30.4601 -176.4451  35.00 6.4 Mwc 184 112 126.06
# 2014-07-02 05:53:34.200 -62.3100  154.9900  12.00 6.0  MW 183 150 109.80
# 2014-07-02 05:53:29.200 -62.3014  155.1868  10.00 6.1 Mwc 183 150 109.89
# 2014-06-30 19:55:33.710  28.3906  138.8727 527.40 6.2  MW 181  67  67.45
# 2014-06-29 17:15:12.130 -15.2351 -175.4580  26.00 6.6  MW 180  94 123.98
# 2014-06-29 15:52:28.450 -15.1011 -175.5143  26.00 6.4  MW 180  94 123.89
# 2014-06-29 14:32:49.770 -55.4186  -28.2240  11.90 6.0  MW 180 217 108.69
# 2014-06-29 07:52:56.840 -55.4757  -28.3956  15.10 6.8  MW 180 217 108.79
# 2014-06-29 05:56:32.860  24.4506  142.6581  59.80 6.2  MW 180  70  71.75
# 2014-06-24 03:15:38.920  52.0093  176.7817  23.20 6.4  MW 175  35  86.06
# 2014-06-23 22:29:51.830  51.9553  178.5736 105.90 6.0  mb 174  34  87.02
# 2014-06-23 21:30:47.500  51.9395  178.4084 109.40 6.0  mb 174  34  86.94
# 2014-06-23 21:11:40.770  51.9569  178.4431 106.40 6.0  mb 174  34  86.95
# 2014-06-23 20:53:09.930  51.7028  178.6428 102.10 7.9  MW 174  34  87.19
# 2014-06-23 20:06:19.900 -29.9857 -177.4010  19.60 6.7  MW 174 112 125.19
# 2014-06-23 19:21:48.380 -30.1376 -177.4626  26.50 6.5  MW 174 112 125.15
# 2014-06-23 19:19:17.290 -30.0038 -177.5306  20.80 6.9  MW 174 112 125.08
# 2014-06-19 10:17:58.300 -13.6006  166.8302  59.60 6.2  MW 170  98 107.15
# 2014-06-14 11:11:03.260 -10.1131   91.0383  23.10 6.5  MW 165 137  41.81
# 2014-05-31 11:53:46.850  18.6938 -107.4923  10.00 6.2  MW 151 347 138.32
# 2014-05-24 09:25:03.190  40.2763   25.3698   8.20 6.9  MW 144 308  36.99
# 2014-05-18 01:02:31.860   4.2401   92.7377  32.90 6.0  MW 138 118  33.38
# 2014-05-15 10:16:44.180   9.3491  122.0352  30.10 6.2  MW 135  93  57.42
# 2014-05-15 08:16:36.160   6.3995  144.9597  16.70 6.3  MW 135  87  79.71
# 2014-05-14 20:56:16.330   6.3681  144.9367  27.20 6.2  MW 134  87  79.70
# 2014-05-13 06:35:24.530   7.1451  -82.2400  13.10 6.5  MW 133 307 135.52
# 2014-05-12 18:38:36.830 -49.9255 -114.7631   7.10 6.4  MW 132 182 151.83
# 2014-05-10 07:36:00.600  17.0579 -100.9323  23.30 6.1  MW 130 338 138.04
# 2014-05-09 10:32:19.740 -18.9350 -175.5746 172.30 6.0  MW 129  98 124.84
# 2014-05-08 17:00:15.920  17.1486 -100.8113  24.90 6.5  MW 128 337 137.91
# 2014-05-07 04:20:39.800  -7.0145  154.9469  41.00 6.0  MW 127  96  93.91
# 2014-05-06 20:52:28.220 -36.3760  -96.9872  10.00 6.2  MW 126 225 157.65
# 2014-05-05 11:08:45.650  19.6152   99.7038  15.20 6.2  MW 125  87  33.86
# 2014-05-04 20:18:25.100  34.8781  139.3660 161.40 6.0  MW 124  60  66.46
# 2014-05-04 09:25:15.290 -25.9072  178.2219 627.30 6.4  MW 124 108 120.73
# 2014-05-04 09:15:52.240 -24.7338  179.0407 522.80 6.6  MW 124 106 121.23
# 2014-05-01 06:36:36.820 -21.4381  170.3099 116.40 6.6  MW 121 105 112.65
# 2014-04-26 06:02:20.200 -20.7344 -174.6481  39.40 6.1  MW 116 100 126.10
# 2014-04-24 03:10:11.720  49.6483 -127.6525   9.80 6.6  MW 114   8 107.73
# 2014-04-20 00:15:59.560  -7.0867  155.3670  32.50 6.2  MW 110  96  94.32
# 2014-04-19 13:28:00.720  -6.7080  154.9920  39.80 7.5  MW 109  96  93.84
# 2014-04-19 01:04:04.680  -6.6474  155.1035  40.00 6.6  MW 109  95  93.92
# 2014-04-18 14:27:24.690  17.3211 -100.9938  24.40 7.3  MW 108 338 137.82
# 2014-04-18 04:13:13.530 -11.1795  164.8414  21.40 6.1  MW 108  96 104.51
# 2014-04-17 15:06:50.220 -62.8759  156.0262  10.00 6.2  MW 107 151 110.36
# 2014-04-15 03:57:01.840 -53.6090    8.7098  10.00 6.8  MW 105 209  88.81
# 2014-04-13 13:25:04.760 -11.1251  161.9657  36.00 6.6  MW 103  97 101.84
# 2014-04-13 12:36:19.500 -11.4669  161.9601  34.20 7.4  MW 103  98 101.95
# 2014-04-12 20:14:38.580 -11.2581  162.1387  15.30 7.6  MW 102  97 102.05
# 2014-04-12 05:24:27.280  -7.1283  155.2626  47.50 6.1  MW 102  96  94.24
# 2014-04-11 20:29:13.610  11.7198  -86.0140 142.30 6.6  MW 101 316 134.91
