-68.60638941 40.94782962
-68.63422998 40.98756891
-68.66210412 41.02730149
-68.69001192 41.06702735
-68.71795345 41.10674647
-68.74592881 41.14645882
-68.77393807 41.18616441
-68.80198132 41.22586319
-68.83005863 41.26555517
-68.85817010 41.30524032
-68.88631580 41.34491862
-68.91449582 41.38459005
-68.94271025 41.42425460
-68.97095916 41.46391225
-68.99924264 41.50356298
-69.02756078 41.54320678
-69.05591367 41.58284361
-69.08430137 41.62247348
-69.11272399 41.66209635
-69.14118161 41.70171221
-69.16967431 41.74132104
-69.19820218 41.78092283
-69.22676530 41.82051754
-69.25536376 41.86010518
-69.28399765 41.89968571
-69.31266706 41.93925912
-69.34137206 41.97882538
-69.37011276 42.01838449
-69.39888923 42.05793642
-69.42770157 42.09748115
-69.45654986 42.13701867
-69.48543419 42.17654895
-69.51435465 42.21607198
-69.54331133 42.25558773
-69.57230432 42.29509619
-69.60133370 42.33459734
-69.63039956 42.37409115
-69.65950201 42.41357762
-69.68864111 42.45305672
-69.71781698 42.49252842
-69.74702968 42.53199272
-69.77627933 42.57144959
-69.80556600 42.61089901
-69.83488979 42.65034096
-69.86425080 42.68977542
-69.89364910 42.72920237
-69.92308480 42.76862180
-69.95255798 42.80803368
-69.98206874 42.84743799
-70.01161717 42.88683471
-70.04120337 42.92622383
-70.07082742 42.96560531
-70.10048942 43.00497915
-70.13018946 43.04434532
-70.15992765 43.08370379
-70.18970406 43.12305456
-70.21951880 43.16239760
-70.24937197 43.20173288
-70.27926364 43.24106040
-70.30919393 43.28038012
-70.33916293 43.31969203
-70.36917072 43.35899610
-70.39921742 43.39829232
-70.42930311 43.43758066
-70.45942789 43.47686110
-70.48959185 43.51613363
-70.51979510 43.55539821
-70.55003774 43.59465484
-70.58031985 43.63390348
-70.61064153 43.67314412
-70.64100290 43.71237673
-70.67140403 43.75160130
-70.70184504 43.79081780
-70.73232602 43.83002621
-70.76284707 43.86922650
-70.79340828 43.90841866
-70.82400977 43.94760267
-70.85465162 43.98677850
-70.88533394 44.02594613
-70.91605683 44.06510554
-70.94682040 44.10425671
-70.97762473 44.14339961
-71.00846993 44.18253422
-71.03935611 44.22166052
-71.07028336 44.26077849
-71.10125179 44.29988811
-71.13226150 44.33898934
-71.16331259 44.37808218
-71.19440517 44.41716659
-71.22553934 44.45624255
-71.25671520 44.49531005
-71.28793285 44.53436906
-71.31919241 44.57341955
-71.35049397 44.61246150
-71.38183764 44.65149489
-71.41322352 44.69051970
-71.44465172 44.72953590
-71.47612234 44.76854347
-71.50763550 44.80754238
-71.53919129 44.84653262
-71.57078983 44.88551416
-71.60243121 44.92448697
-71.63411555 44.96345103
-71.66584295 45.00240632
-71.69761353 45.04135281
-71.72942738 45.08029048
-71.76128462 45.11921931
-71.79318536 45.15813927
-71.82512970 45.19705034
-71.85711775 45.23595249
-71.88914962 45.27484570
-71.92122543 45.31372994
-71.95334527 45.35260519
-71.98550927 45.39147143
-72.01771753 45.43032863
-72.04997017 45.46917676
-72.08226729 45.50801581
-72.11460900 45.54684574
-72.14699542 45.58566653
-72.17942666 45.62447816
-72.21190283 45.66328060
-72.24442405 45.70207382
-72.27699042 45.74085781
-72.30960206 45.77963253
-72.34225909 45.81839796
-72.37496161 45.85715407
-72.40770974 45.89590084
-72.44050360 45.93463825
-72.47334331 45.97336626
-72.50622896 46.01208485
-72.53916069 46.05079400
-72.57213861 46.08949368
-72.60516283 46.12818386
-72.63823347 46.16686451
-72.67135064 46.20553562
-72.70451447 46.24419715
-72.73772507 46.28284908
-72.77098255 46.32149138
-72.80428705 46.36012403
-72.83763866 46.39874699
-72.87103752 46.43736024
-72.90448374 46.47596376
-72.93797744 46.51455751
-72.97151875 46.55314148
-73.00510777 46.59171562
-73.03874463 46.63027993
-73.07242946 46.66883436
-73.10616236 46.70737889
-73.13994347 46.74591349
-73.17377291 46.78443814
-73.20765079 46.82295281
-73.24157724 46.86145747
-73.27555238 46.89995209
-73.30957634 46.93843665
-73.34364923 46.97691111
-73.37777119 47.01537545
-73.41194233 47.05382964
-73.44616278 47.09227365
-73.48043266 47.13070746
-73.51475211 47.16913103
-73.54912123 47.20754434
-73.58354017 47.24594735
-73.61800904 47.28434004
-73.65252797 47.32272239
-73.68709709 47.36109435
-73.72171653 47.39945590
-73.75638641 47.43780702
-73.79110686 47.47614767
-73.82587801 47.51447783
-73.86069998 47.55279745
-73.89557292 47.59110653
-73.93049693 47.62940502
-73.96547216 47.66769289
-74.00049873 47.70597012
-74.03557678 47.74423668
-74.07070643 47.78249253
-74.10588782 47.82073765
-74.14112107 47.85897200
-74.17640632 47.89719556
-74.21174370 47.93540829
-74.24713334 47.97361016
-74.28257538 48.01180115
-74.31806995 48.04998122
-74.35361717 48.08815035
-74.38921720 48.12630849
-74.42487015 48.16445562
-74.46057616 48.20259171
